date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:16	81272/81272	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:15%20GMT	https://designertemplate.webflow.io/	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/index.html	(from )
11:55:16	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2018%20Feb%202021%2006:25:15%20GMT	https://designertemplate.webflow.io/robots.txt		(from )
11:55:19	240850/240850	---M-Z	200	added ('OK')	text/css	etag:%2250e814b3604b2a13794332e0b43ab6d5%22	https://assets.website-files.com/5f68b76104965043f88e2647/css/designertemplate.webflow.bad02d616.css	C:/Users/joel/Desktop/web%20copier/assets.website-files.com/5f68b76104965043f88e2647/css/designertemplate.webflow.bad02d616.css	(from https://designertemplate.webflow.io/)
11:55:20	72010/72010	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:20%20GMT	https://designertemplate.webflow.io/about	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/about.html	(from https://designertemplate.webflow.io/)
11:55:20	49079/49079	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:20%20GMT	https://designertemplate.webflow.io/portfolio	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/portfolio.html	(from https://designertemplate.webflow.io/)
11:55:20	59430/59430	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:21%20GMT	https://designertemplate.webflow.io/products	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/products.html	(from https://designertemplate.webflow.io/)
11:55:20	51818/51818	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:21%20GMT	https://designertemplate.webflow.io/contact	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/contact.html	(from https://designertemplate.webflow.io/)
11:55:21	51659/51659	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:21%20GMT	https://designertemplate.webflow.io/portfolio/fintech-mobile-app-redesign	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/portfolio/fintech-mobile-app-redesign.html	(from https://designertemplate.webflow.io/)
11:55:21	60719/60719	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2006:25:22%20GMT	https://designertemplate.webflow.io/product/iphone-11-pro-mockups	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/product/iphone-11-pro-mockups.html	(from https://designertemplate.webflow.io/)
11:55:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2018%20Feb%202021%2006:25:22%20GMT	https://designertemplate.webflow.io/blog	C:/Users/joel/Desktop/web%20copier/designertemplate.webflow.io/blog	(from https://designertemplate.webflow.io/)
